,nm_produto,ds_classe2,vl_total
267,Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,166.46
268,Sobrecoxa Big Fgo Resf.Kg,Acougue,151.04
269,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,217.56
270,Sobrecoxa Frango Copacol S/Pele Bd 1kg,Acougue,373.34
271,Sobrecoxa Frango Copacol S/Pele Resf.Kg,Acougue,201.31
272,Sobrecoxa Frango Copacol Temp.Resf.1kg,Acougue,77.84
273,Sobrecoxa Seara Resf.Kg,Acougue,190.53
274,Sobrepaleta Suina Alegra Temp.Resf.Kg,Acougue,498.43
275,Sobrepaleta Suina Extra Alegra Cong.Kg,Acougue,156.12
276,Sobrepaleta Suina Frimesa Cong.Kg,Acougue,17.31
277,Sobrepaleta Suina Pamplona Temp.Resf.Kg,Acougue,64.53
278,Stretto DeliCia A/S Kg,Acougue,155.01
279,Strogonoff Alcatra Friboi Reserva Kg,Acougue,156.27
280,Strogonoff Coxao Mole DeliCia A/S Kg,Acougue,1257.47
281,Strogonoff Patinho Friboi Reserva Kg,Acougue,157.48
282,Suan Suino Cong.Kg,Acougue,55.21
283,Toucinho Suino Fattoria C/Pele Resf.Kg,Acougue,15.77
284,Toucinho Suino Resf.Kg,Acougue,8.20
285,Toucinho Tonini Resf.Kg,Acougue,135.33
286,Agua Coco Ducoco 1l Tp,Bebidas Frias,160.09
287,Agua Coco Ducoco 200ml Tp,Bebidas Frias,80.15
288,Agua Coco Kero-Coco 1l Tp,Bebidas Frias,677.87
289,Agua Coco Kero-Coco 200ml Tp,Bebidas Frias,124.06
290,Agua Coco Obrigado 1l Tp,Bebidas Frias,1700.63
291,Agua Coco Obrigado 200ml Tp,Bebidas Frias,18.03
292,Agua Coco Obrigado 350ml Pet,Bebidas Frias,8.18
293,Agua Coco Obrigado Abac./Pera 1l Tp,Bebidas Frias,25.96
294,Agua Coco Obrigado Cap/Geng.1l Tp,Bebidas Frias,45.43
295,Agua Coco Sococo 1l Tp,Bebidas Frias,1306.49
296,Agua Coco Sococo 200ml  Tp,Bebidas Frias,131.26
297,Agua Coco Sococo 330ml Tp,Bebidas Frias,120.37
298,Agua Coco Trop Coco 1l,Bebidas Frias,2524.09
299,Agua Crystal Sparkling Limao 310ml La,Bebidas Frias,31.64
300,Agua Crystal Sparkling Limao 510ml Pet,Bebidas Frias,46.29
301,Agua Crystal Sparkling Tang.310ml La,Bebidas Frias,21.86
302,Agua Crystal Sparkling Tang.510ml Pet,Bebidas Frias,40.68
303,Agua de Coco Mais Coco 1l Tp,Bebidas Frias,4294.76
304,Agua Min.Ama 500ml S/Gas Pet,Bebidas Frias,268.69
305,"Agua Min.Crystal 1,5l Pet",Bebidas Frias,297.24
306,Agua Min.Crystal 300ml Pet,Bebidas Frias,65.51
307,Agua Min.Crystal 310ml Copo,Bebidas Frias,47.91
308,Agua Min.Crystal 500ml Pet,Bebidas Frias,419.03
309,Agua Min.Crystal 5l,Bebidas Frias,390.61
310,"Agua Min.Crystal C/Gas 1,5l Pet",Bebidas Frias,164.13
311,Agua Min.Crystal C/Gas 500ml Pet,Bebidas Frias,268.84
312,Agua Min.Crystal Vip 350ml C./Gas Pet,Bebidas Frias,70.89
313,Agua Min.Crystal Vip 350ml Pet,Bebidas Frias,81.88
314,Agua Min.Font Life 10l Pet,Bebidas Frias,1109.20
315,Agua Min.Font Life 5l Pet,Bebidas Frias,470.54
316,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,346.45
317,Agua Min.Font Life C/Gas 510ml Pet,Bebidas Frias,315.87
318,Agua Min.Font Life S/Gas 1.5l Pet,Bebidas Frias,164.47
319,Agua Min.Font Life S/Gas 510ml Pet,Bebidas Frias,129.00
320,Agua Min.Font Life Sport 510ml S/Gas Pet,Bebidas Frias,144.22
321,Agua Min.Maceratti 1.5l Pet,Bebidas Frias,43.70
322,Agua Min.Maceratti 300ml Copo,Bebidas Frias,15.24
323,Agua Min.Maceratti 502ml,Bebidas Frias,11.36
324,Agua Min.Maceratti 5l,Bebidas Frias,79.92
325,Agua Min.Maceratti C/Gas 2l Pet,Bebidas Frias,69.42
326,Agua Min.Maceratti C/Gas 505ml,Bebidas Frias,52.45
327,"Agua Min.Nestle Pureza Vital 1,5l Pet",Bebidas Frias,151.63
328,Agua Min.Nestle Pureza Vital 510ml Pet,Bebidas Frias,251.46
329,Agua Min.O Fino S/Gas 350ml Pet,Bebidas Frias,45.00
330,Agua Min.O.Fino 1.5l,Bebidas Frias,180.32
331,Agua Min.O.Fino 10l,Bebidas Frias,700.56
332,Agua Min.O.Fino 500ml Jr,Bebidas Frias,66.06
333,Agua Min.O.Fino 6l,Bebidas Frias,588.27
334,"Agua Min.O.Fino C/Gas 1,5l Pet",Bebidas Frias,67.20
335,Agua Min.O.Fino C/Gas 350ml Pet,Bebidas Frias,126.90
336,Agua Min.O.Fino C/Gas 500ml Pet,Bebidas Frias,271.18
337,Agua Min.Perrier C/Gas 330ml,Bebidas Frias,5.77
338,"Agua Min.Proteg 1,5 Pet",Bebidas Frias,86.44
339,Agua Min.Proteg 502ml Pet,Bebidas Frias,226.97
340,Agua Min.Proteg 5l Pet,Bebidas Frias,245.49
341,Agua Min.Proteg C/Gas 2l Pet,Bebidas Frias,80.68
342,Agua Min.Proteg C/Gas 505ml Pet,Bebidas Frias,147.48
343,Agua Min.Sao Lourenco C/Gas 1.260ml Pet,Bebidas Frias,15.12
344,Agua Min.Sao Lourenco C/Gas 300ml Pet,Bebidas Frias,19.52
345,Agua Min.Sao Lourenco S/Gas 300ml Pet,Bebidas Frias,14.64
346,"Agua Min.Schinc.C/Gas 1,5l",Bebidas Frias,65.47
347,Agua Min.Schinc.C/Gas 500ml Pet,Bebidas Frias,19.46
348,"Agua Min.Schinc.S/Gas 1,5l",Bebidas Frias,62.47
349,Agua Min.Schinc.S/Gas 500ml Pet,Bebidas Frias,107.07
350,Agua Min.Sferrie 1.5l C/Gas Pet,Bebidas Frias,151.26
351,Agua Min.Sferrie 1.5l Pet,Bebidas Frias,48.11
352,Agua Min.Sferrie 510ml C/Gas Pet,Bebidas Frias,162.15
353,Agua Min.Sferrie 510ml Pet,Bebidas Frias,197.67
354,Agua Min.Sferrie 5l,Bebidas Frias,106.70
355,Agua Min.Sferrie Premium C/Gas 410ml Pet,Bebidas Frias,63.45
356,Agua Min.Sferrie Premium S/Gas 410ml Pet,Bebidas Frias,45.12
357,Beb.Ades Soja Abac.1l Tp,Bebidas Frias,356.47
358,Beb.Ades Soja Abac.200ml Tp,Bebidas Frias,73.89
359,Beb.Ades Soja Lja 1l Tp,Bebidas Frias,248.49
360,Beb.Ades Soja Lja 200ml Tp,Bebidas Frias,63.71
361,Beb.Ades Soja Maca 1l Tp,Bebidas Frias,435.11
362,Beb.Ades Soja Maca 200ml Tp,Bebidas Frias,62.63
363,Beb.Ades Soja Mrgo 1l Tp,Bebidas Frias,254.50
364,Beb.Ades Soja Mrgo 200ml Tp,Bebidas Frias,72.61
365,Beb.Ades Soja Pess.1l Tp,Bebidas Frias,299.81
366,Beb.Ades Soja Uva 1l Tp,Bebidas Frias,382.46
367,Beb.Ades Soja Uva 200ml Tp,Bebidas Frias,47.80
368,Beb.Aquarius Fresh Limao 510ml Pet,Bebidas Frias,95.93
369,Beb.Cini Cristal Limao 600ml Pet,Bebidas Frias,134.48
370,Beb.Energ.Burn 1l Pet,Bebidas Frias,223.20
371,Beb.Energ.Burn 260ml,Bebidas Frias,23.36
372,Beb.Energ.Flying Horse 1l,Bebidas Frias,205.63
373,Beb.Energ.Furioso 2l,Bebidas Frias,1077.95
374,Beb.Energ.Fusion 1l Pet,Bebidas Frias,293.11
375,Beb.Energ.Fusion Cha Lim./Hort.310ml La,Bebidas Frias,59.57
376,Beb.Energ.Fusion Lja 310ml La,Bebidas Frias,21.40
377,Beb.Energ.Insano 1l,Bebidas Frias,330.48
378,Beb.Energ.Insano 269ml La,Bebidas Frias,26.28
379,Beb.Energ.Monster 500ml La Lo-Carb,Bebidas Frias,13.98
380,Beb.Energ.Monster Assault 473ml La,Bebidas Frias,143.79
381,Beb.Energ.Monster Energy 473ml La,Bebidas Frias,564.18
382,Beb.Energ.Monster Khaos 473ml La,Bebidas Frias,197.31
383,Beb.Energ.Monster Lo-Carb 473ml La,Bebidas Frias,296.37
384,Beb.Energ.Monster Ultra 473ml La,Bebidas Frias,260.22
385,Beb.Energ.Red Bull 250ml La,Bebidas Frias,700.29
386,Beb.Energ.Red Bull 355ml La,Bebidas Frias,568.75
387,Beb.Energ.Red Bull 473ml La,Bebidas Frias,133.36
388,Beb.Energ.Red Bull Blue 250ml,Bebidas Frias,39.94
389,Beb.Energ.Red Bull Red 250ml La,Bebidas Frias,40.23
390,Beb.Energ.Red Bull S.Free 250ml La,Bebidas Frias,183.69
391,Beb.Energ.Red Bull Summer/Tropical 250ml,Bebidas Frias,47.70
392,"Beb.H20h Citrus 1,5l Pet",Bebidas Frias,179.70
393,Beb.H20h Citrus 500ml Pet,Bebidas Frias,78.32
394,"Beb.H20h Limao 1,5l Pet",Bebidas Frias,455.12
395,Beb.H20h Limao 500ml Pet,Bebidas Frias,171.00
396,"Beb.H2oh Laranccini 1,5l Pet",Bebidas Frias,119.74
397,Beb.H2oh Laranccini 500ml Pet,Bebidas Frias,108.18
398,Beb.H2oh Limao 310ml La,Bebidas Frias,79.58
399,Beb.H2oh Limoneto 1.5l Pet,Bebidas Frias,263.54
400,Beb.H2oh Limoneto 500ml,Bebidas Frias,108.15
401,Beb.Hidrotonico I9 Lim.500ml Pet,Bebidas Frias,297.57
402,Beb.Hidrotonico I9 Mrcja 500ml Pet,Bebidas Frias,263.96
403,Beb.Hidrotonico I9 Tang.500ml Pet,Bebidas Frias,276.76
404,Beb.Hidrotonico I9 Uva Vde 500ml Pet,Bebidas Frias,247.25
405,Beb.Isot.Gatorade Ftas Citr.500ml Pet,Bebidas Frias,151.08
406,Beb.Isot.Gatorade Lim.1l,Bebidas Frias,99.90
407,Beb.Isot.Gatorade Lim.500ml Pet,Bebidas Frias,121.94
408,Beb.Isot.Gatorade Lja 500ml Pet,Bebidas Frias,136.31
409,Beb.Isot.Gatorade Mrcja 500ml Pet,Bebidas Frias,51.59
410,Beb.Isot.Gatorade Mrgo/Mrcja 500ml Pet,Bebidas Frias,156.37
411,Beb.Isot.Gatorade Tang.500ml Pet,Bebidas Frias,103.18
412,Beb.Isot.Gatorade Tangerina 1l,Bebidas Frias,149.85
413,Beb.Isot.Gatorade Uva 500ml Pet,Bebidas Frias,170.84
414,Beb.Isot.Powerade Lim.500ml Pet,Bebidas Frias,28.14
