,nm_produto,ds_classe2,vl_total
217,Lombo Prieto Suino Temp.Resf.Kg,Acougue,61.83
218,Lombo Suino Alegra Cong.Kg,Acougue,613.92
219,Lombo Suino Alegra Temp.Resf.Kg,Acougue,2918.31
220,Lombo Suino Fattoria Resf.Kg,Acougue,1191.33
221,Lombo Suino Frimesa Gong.Kg,Acougue,522.37
222,Lombo Suino Pamplona S/O Resf.Kg,Acougue,58.71
223,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,513.62
224,Lombo Suino Resf.Kg,Acougue,79.05
225,Maminha Friboi Reserva Peca Vac.Kg,Acougue,881.18
226,Maminha Nobre Baby Friboi Reserva Kg,Acougue,27.22
227,Maminha Swift Maturatta Resf Kg,Acougue,79.57
228,Medalhao de Mignon DeliCia A/S Kg,Acougue,56.57
229,Medalhao do Alcatra Friboi Reserva Kg,Acougue,823.63
230,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,3409.65
231,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,2759.08
232,Meio da Asa Copacol Kg,Acougue,7925.92
233,Meio da Asa Frango Copacol Temp.Resf.1kg,Acougue,1228.30
234,Meio da Asa Seara Resf.Kg,Acougue,1118.21
235,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,1195.44
236,Miolo Alcatra Friboi Reserva Vac.Kg,Acougue,274.40
237,Miolo Alcatra Swift Maturatta Resf.Kg,Acougue,151.28
238,Mocoto Bovino Kg,Acougue,1445.67
239,Moela de Frango Big Fgo Resf.Kg,Acougue,2576.50
240,Moela de Frango Copacol Resf.Kg,Acougue,3259.23
241,Musculo Com Osso Kg,Acougue,327.10
242,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,2028.30
243,Musculo Friboi Porcionado Resf.Kg,Acougue,35.38
244,Musculo Friboi Reserva Resf.Peca Vac.Kg,Acougue,383.66
245,Musculo Mole DeliCia A/S Especial Kg,Acougue,338.46
246,Musculo Mole Friboi Reserva Tortug.Kg,Acougue,81.18
247,Musculo Pedaco Kg,Acougue,99.13
248,Musculo Picado DeliCia A/S Kg,Acougue,397.09
249,Paleta Bovina Sem Osso Kg,Acougue,133.45
250,Paleta Ovina Kg,Acougue,169.46
251,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,8701.84
252,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,3060.08
253,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,3402.96
254,Paleta Suino Tonini C/Osso C/P Resf.Kg,Acougue,728.13
255,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,1696.11
256,Patinho Friboi Reserva Peca Vac.Kg,Acougue,162.31
257,Patinho Moido DeliCia A/S Kg,Acougue,9053.54
258,Patinho Peca Inteira Kg,Acougue,2190.00
259,Patinho Pedaco Kg,Acougue,28011.18
260,Patinho Porcionado Resf.Kg,Acougue,15074.38
261,Pe Suino Resf.Kg,Acougue,36.13
262,Pe Suino Tonini Resf.Kg,Acougue,75.89
263,Peito Bovino S/O Friboi Reserva Pcvac.Kg,Acougue,102.73
264,Peito de Frango Seara Resf.Kg,Acougue,871.85
265,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,3688.53
266,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,3909.28
267,Peito Frango C/Osso Cong.Kg,Acougue,11346.92
268,Peito Frango C/Osso Maringa Resf.Kg,Acougue,8559.16
269,Peito Frango Copacol Bdja 1kg,Acougue,833.72
270,Peito Frango Copacol Resf.Kg,Acougue,24345.87
271,Peito Frango Copacol S/O S/P Bdja 1kg,Acougue,10799.27
272,Peito Frango Copacol S/Pele  Bdja 1kg,Acougue,581.76
273,Peito Frango Copacol S/Pele Kg,Acougue,1549.57
274,Peixinho Especial DeliCia A/S Kg,Acougue,458.50
275,Peixinho Sanfonado DeliCia A/S Kg,Acougue,342.36
276,Pernil Ovino Fatiado Kg,Acougue,89.03
277,Pernil Ovino Kg,Acougue,59.04
278,Pernil Pamplona C/O C/P Temp.Resf.Kg,Acougue,50.61
279,Pernil Prieto Suino Temp.Resf.Kg,Acougue,78.14
280,Pernil Suino C/Osso C/Pele Resf.Kg,Acougue,8391.72
281,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,8367.63
282,Pernil Suino Frimesa Fat.Cong.Kg,Acougue,814.47
283,Pernil Suino Pamplona C/O S/P Resf.Kg,Acougue,62.64
284,Pernil Suino Tonini C/O C/P Resf.Kg,Acougue,7937.66
285,Petisco Copacol de Fgo Tem.Cong Pct 1kg,Acougue,2613.88
286,Picadinho Magro DeliCia A/S Kg,Acougue,297.40
287,Picanha Alegra Corte Facil Cong.Kg,Acougue,481.14
288,Picanha Anglo Fatiada Kg,Acougue,7243.58
289,Picanha Anglo Friboi Resf.Kg,Acougue,6829.47
290,Picanha Friboi Reserva Vac.Kg,Acougue,3075.91
291,Picanha Friboi Resf.Vacuo Kg,Acougue,166.32
292,Picanha Prieto Suina Temp.Resf.Kg,Acougue,137.42
293,Picanha Resf.Vacuo Kg,Acougue,546.10
294,Picanha Suina Alegra Temp.Resf.Kg,Acougue,5491.61
295,Picanha Suina Frimesa Cong.Kg,Acougue,1629.57
296,Picanha Suina Pamplona Temp.Resf.Kg,Acougue,436.78
297,Picanha Swift Maturatta Resf.Kg,Acougue,247.56
298,Ponta de Costela Bovina Congelada Kg,Acougue,4950.19
299,Ponta de Peito DeliCia A/S Pedaco Kg,Acougue,258.85
300,Posta Branca Especial Friboi Reserva Kg,Acougue,44.79
301,Posta Branca Friboi Porcionado Resf.Kg,Acougue,1658.01
302,Posta Branca Friboi Reserva Peca Kg,Acougue,278.45
303,Posta Branca Friboi Reserva Peca Vac. Kg,Acougue,224.57
304,Posta Vermelha Friboi Reserva Pc Vac.Kg,Acougue,1043.24
305,Posta Vermelha Peca Inteira Kg,Acougue,2690.24
306,Posta Vermelha Pedaco Kg,Acougue,3403.03
307,Posta Vermelha Porcionada Kg,Acougue,42486.35
308,Rabo Bovino Kg,Acougue,1395.16
309,Recortes de Costela Suina Aurora Cong.Kg,Acougue,2578.31
310,Redbeff DeliCia A/S Kg,Acougue,2504.81
311,Rim Bovino Kg,Acougue,152.29
312,Sobre Paleta Prieto Temp.Resf.Kg,Acougue,91.99
313,Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,2174.31
314,Sobrecoxa Big Fgo Resf.Kg,Acougue,1436.93
315,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,1224.85
316,Sobrecoxa Frango Copacol S/Pele Bd 1kg,Acougue,2799.04
317,Sobrecoxa Frango Copacol S/Pele Resf.Kg,Acougue,1937.71
318,Sobrecoxa Frango Copacol Temp.Resf.1kg,Acougue,422.56
319,Sobrecoxa Seara Resf.Kg,Acougue,2301.60
320,Sobrepaleta Suina Alegra Temp.Resf.Kg,Acougue,3293.27
321,Sobrepaleta Suina Extra Alegra Cong.Kg,Acougue,853.64
322,Sobrepaleta Suina Frimesa Cong.Kg,Acougue,230.09
323,Sobrepaleta Suina Pamplona Temp.Resf.Kg,Acougue,178.50
324,Stretto DeliCia A/S Kg,Acougue,2181.02
325,Strogonoff Alcatra Friboi Reserva Kg,Acougue,1661.90
326,Strogonoff Coxao Mole DeliCia A/S Kg,Acougue,9920.79
327,Strogonoff Patinho Friboi Reserva Kg,Acougue,1438.25
328,Suan Suino Cong.Kg,Acougue,619.00
329,Suan Suino Resf.Kg,Acougue,88.66
330,Toucinho Suino Fattoria C/Pele Resf.Kg,Acougue,123.49
331,Toucinho Suino Resf.Kg,Acougue,35.75
332,Toucinho Tonini Resf.Kg,Acougue,1180.84
333,Agua Coco Ducoco 1l Tp,Bebidas Frias,917.92
334,Agua Coco Ducoco 200ml Tp,Bebidas Frias,332.15
335,Agua Coco Kero-Coco 1l Tp,Bebidas Frias,4865.54
336,Agua Coco Kero-Coco 200ml Tp,Bebidas Frias,727.97
337,Agua Coco Obrigado 1l Tp,Bebidas Frias,11945.20
338,Agua Coco Obrigado 200ml Tp,Bebidas Frias,320.16
339,Agua Coco Obrigado 350ml Pet,Bebidas Frias,132.43
340,Agua Coco Obrigado Abac./Pera 1l Tp,Bebidas Frias,210.04
341,Agua Coco Obrigado Cap/Geng.1l Tp,Bebidas Frias,281.43
342,Agua Coco Sococo 1l Tp,Bebidas Frias,9975.21
343,Agua Coco Sococo 200ml  Tp,Bebidas Frias,636.21
344,Agua Coco Sococo 330ml Tp,Bebidas Frias,1898.20
345,Agua Coco Trop Coco 1l,Bebidas Frias,22058.15
346,Agua Crystal Sparkling Limao 310ml La,Bebidas Frias,287.35
347,Agua Crystal Sparkling Limao 510ml Pet,Bebidas Frias,327.66
348,Agua Crystal Sparkling Tang.310ml La,Bebidas Frias,230.10
349,Agua Crystal Sparkling Tang.510ml Pet,Bebidas Frias,307.89
350,Agua de Coco Mais Coco 1l Tp,Bebidas Frias,31243.51
351,Agua Min.Ama 500ml S/Gas Pet,Bebidas Frias,1626.28
352,"Agua Min.Crystal 1,5l Pet",Bebidas Frias,2074.88
353,Agua Min.Crystal 300ml Pet,Bebidas Frias,611.73
354,Agua Min.Crystal 310ml Copo,Bebidas Frias,350.52
355,Agua Min.Crystal 500ml Pet,Bebidas Frias,3376.74
356,Agua Min.Crystal 5l,Bebidas Frias,2501.82
357,"Agua Min.Crystal C/Gas 1,5l Pet",Bebidas Frias,1423.71
358,Agua Min.Crystal C/Gas 500ml Pet,Bebidas Frias,2350.87
359,Agua Min.Crystal Vip 350ml C./Gas Pet,Bebidas Frias,589.11
360,Agua Min.Crystal Vip 350ml Pet,Bebidas Frias,575.78
361,Agua Min.Font Life 10l Pet,Bebidas Frias,7197.99
362,Agua Min.Font Life 5l Pet,Bebidas Frias,4900.42
363,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,2833.10
364,Agua Min.Font Life C/Gas 510ml Pet,Bebidas Frias,2614.63
365,Agua Min.Font Life S/Gas 1.5l Pet,Bebidas Frias,1775.69
366,Agua Min.Font Life S/Gas 510ml Pet,Bebidas Frias,1187.16
367,Agua Min.Font Life Sport 510ml S/Gas Pet,Bebidas Frias,1134.24
368,Agua Min.Ita.San Pellegrino 750ml Gf,Bebidas Frias,93.82
369,Agua Min.Maceratti 1.5l Pet,Bebidas Frias,391.40
370,Agua Min.Maceratti 300ml Copo,Bebidas Frias,309.90
371,Agua Min.Maceratti 502ml,Bebidas Frias,328.74
372,Agua Min.Maceratti 5l,Bebidas Frias,833.14
373,Agua Min.Maceratti C/Gas 2l Pet,Bebidas Frias,804.47
374,Agua Min.Maceratti C/Gas 505ml,Bebidas Frias,395.33
375,"Agua Min.Nestle Pureza Vital 1,5l Pet",Bebidas Frias,824.97
