,nm_produto,ds_classe2,vl_total
181,Torrada Isabela Multigrao 160g,Seca Leve,27.27
182,Cr.Dental Close-Up 90g Bioativa L3p2,Perfumaria/Higiene E Beleza,20.75
183,Sob.Danone Danette 180g Choc.,Laticinios,27.92
184,Refr.Po Frisco Abac.25g,Bebidas Frias,4.84
185,Sabao Em Po Omo M.Acao 1kg,Limpeza,71.88
186,Cerv.Glacial Pilsen 350ml La,Bebidas Frias,6.04
187,Panettone DeliCia 500g Sache Choc.,Paes E Bolos Industrializados,73.40
188,Choc.Lacta Laka Oreo 20g,Seca Leve,3.64
189,Bisc.Ninfa Lte 370g,Seca Leve,11.56
190,Choc.Nestle Classic Ao Lte 100gr,Seca Leve,8.78
191,Marshmallow Haribo Chamallows Tube 80g,Seca Leve,14.42
192,Choc.Garoto Rech.Talento Mrcja 90g,Seca Leve,31.90
193,Sabao Omo Liq.Toq.Comfort Roxo 3l,Limpeza,32.38
194,Costela Bizinelli Def.Kg,Fiambreria,22.60
195,Linguica Seara Calab.Def.Kg,Fiambreria,80.95
196,Beb.Energ.Red Bull 355ml La,Bebidas Frias,18.28
197,Leite Tirol Uht 1l Integ.Tampa Rosca,Leite,1213.07
198,Chocottone Bauducco 550g Trufas,Paes E Bolos Industrializados,62.21
199,Chocottone Bauducco Maxi Ovomaltine 550g,Paes E Bolos Industrializados,74.19
200,Refrig.Sukita 1l Pet,Bebidas Frias,124.74
201,Fermento Royal Po 100g,Seca Doce,38.69
202,Coxa C/Sobrecoxa Frango Copacol Resf.Kg,Acougue,43.67
203,Protetor Nivea L.F.200ml Fps30,Perfumaria/Higiene E Beleza,32.90
204,Shampoo Pantene 400ml Brilho Extremo,Perfumaria/Higiene E Beleza,32.84
205,Sab.Senador 130g L3 P2 Platinum.,Perfumaria/Higiene E Beleza,7.22
206,Leite Ferm.Yakult 480g Trad.,Laticinios,50.19
207,Pao Seven Boys Leite 500g,Paes E Bolos Industrializados,32.94
208,Massa Nissin Cup Noodles Cne 69g,Seca Leve,20.44
209,Lasanha Perdigao 600g Fgo C/Bacon,Congelados,79.80
210,Panettone DeliCia 500g Choc.,Paes E Bolos Industrializados,75.80
211,Presunto Perdigao Kg,Fiambreria,66.55
212,File de Peito Big Fgo Resf.Kg,Acougue,8.53
213,Mostarda Hemmer Escura 200g,Seca Salgada,7.10
214,Requeijao Tirolez Crem.Light 200g,Laticinios,9.08
215,Alho Jandira S/Sal 200g Pote,Seca Salgada,18.62
216,Linguica Perdigao Calab.Def.Kg,Fiambreria,56.34
217,Iog.Nestle Nat.170g Integral,Laticinios,14.70
218,Iog.Nestle Nat.170g Mel,Laticinios,5.85
219,Iog.Nestle Nat.170g Lja/Cen.,Laticinios,20.70
220,Pao Thabrulai Integral 500g,Paes E Bolos Industrializados,58.46
221,Seleta Delegumes Bonare 200g,Seca Salgada,7.59
222,Coxao Mole Moido DeliCia A/S Kg,Acougue,220.88
223,Mini Chicken Perdigao 275g Fgo/Qjo,Congelados,22.54
224,Manteiga Tirol 500g C/Sal,"Frios,Massas E Gordurosos",49.04
225,Suplemento Taffman-E Vit.110ml,Laticinios,3.05
226,Iog.Batavo Nat.170g Mel,Laticinios,15.77
227,Broa Charlotte Integral Linhaca 450g,Paes E Bolos Industrializados,42.04
228,Desodor.Desoflor Caixa Acoplada Lav.50g,Limpeza,6.59
229,Choc.Arcor Amargo 70% 100g,Seca Leve,11.68
230,Suco do Bem Todo Dia Caju 1l Tp,Bebidas Frias,22.46
231,Iog.Batavo Nat.170g Ameixa,Laticinios,12.25
232,Iog.Batavo Nat.170g Lja/Cen/Mel,Laticinios,5.25
233,Bisc.Kellogg.S Cacau/Mel 120g,Seca Leve,14.86
234,Bisc.Bauducco Cookies Chocco 105g,Seca Leve,19.02
235,Bisc.Negresco Rech.Eclipse 140g,Seca Leve,32.85
236,Cookies Visconti Orig.60g,Seca Leve,10.43
237,Cookies Visconti Choc.60g,Seca Leve,10.43
238,Refrig.Coca-Cola 350ml La,Bebidas Frias,58.27
239,Bisc.Oreo Golden  Rech.Baun.144g,Seca Leve,7.18
240,"Choc.Nestle Kit Kat 41,5g",Seca Leve,106.52
241,Choc.Garoto Ao Lte 100g,Seca Leve,48.82
242,Tintura Cor&Ton 125g Louro Escuro 60,Perfumaria/Higiene E Beleza,31.47
243,Waffle Forno de Minas 210g Trad,Congelados,10.58
244,Posta Copacol Tilapia 1kg,Congelados,151.93
245,Sorvete Nobrelli 2l Napolitano,Congelados,62.40
246,Linguica Frimesa Calab.Def.Kg,Fiambreria,73.29
247,Pao Caseirinho Forma 450g,Paes E Bolos Industrializados,7.98
248,Shampoo Naturre 300ml Camomila,Perfumaria/Higiene E Beleza,19.32
249,Condic.Neutrox 350ml Sos,Perfumaria/Higiene E Beleza,6.52
250,Ovos Gde Verm.1dz,Granjeiros,75.60
251,Mel Unimel 270g Bisnaga,Seca Doce,19.74
252,Panettone Nino 500g Choc.Cx,Paes E Bolos Industrializados,35.92
253,Bisc.Passatempo Rech.Mrgo 130g,Seca Leve,52.93
254,Panettone Lowcucar Diet Frutas 400g,Seca Doce,70.11
255,Cafe Damasco Intenso Vacuo 500g,Seca Pesada,87.85
256,Bombom Lacta Ouro Branco New 21g,Seca Leve,46.20
257,Refrig.Coca Cola 3l Pet,Bebidas Frias,349.43
258,Choc.Garoto Negresco Bco 100g,Seca Leve,69.60
259,Pessego Neumann Em Calda 450g,Seca Doce,34.90
260,Molho Masterfoods P/Salada Italiano 234m,Seca Salgada,5.84
261,Sab.Lux Liq.220ml Buque Sonhos Refil,Perfumaria/Higiene E Beleza,27.93
262,Sab.Lux 85gr C/4 Suav.Das Petalas P.Esp.,Perfumaria/Higiene E Beleza,9.98
263,Cerv.Ale Darguner Pilsner 330ml La,Bebidas Frias,3.84
264,Bacon Juliatto Manta Kg,Fiambreria,31.15
265,Maionese Hellmanns 500g,Seca Salgada,124.40
266,Tempero Sabor Ami S/Pim.300g,Seca Salgada,12.44
267,Colorifico Strafit 50g,Seca Salgada,6.96
268,Sal Marinho Vitao 1kg,Seca Salgada,7.62
269,Deterg.Limpol Limao 500ml,Limpeza,7.19
270,Arroz Buriti Parb.5kg,Seca Pesada,233.20
271,Leite Po Molico Desn.Actifibra 280g La,Seca Doce,12.48
272,Torrada Marilan Magic Toast Light 144g,Seca Leve,24.28
273,Adoc.Light Magro 500g,Seca Pesada,12.16
274,Oleo Liza Milho 900ml Pet,Seca Pesada,26.00
275,Alho Hoshina Picado 200g,Seca Salgada,10.38
276,"Suco Alianca Uva Tinto 1,5l Gf",Bebidas Frias,35.70
277,Farinha de Trigo Famiglia Venturelli 5kg,Seca Pesada,206.66
278,Cafe Bom Jesus Trad.Vacuo 500g,Seca Pesada,112.68
279,Fermento D.Benta 100g,Seca Doce,6.87
280,Beterraba Hemmer 400g,Seca Salgada,8.99
281,Pao de Mel Barion 90g,Seca Leve,74.70
282,Barra Cer.Ritter Capuc.75g,Seca Leve,3.29
283,Bisc.Minueto Waffer Limao 115g,Seca Leve,15.50
284,Bisc.Minueto Waffer Choc.Baun.115g,Seca Leve,6.97
285,Feijao Vermelho Pe Vermelho 1kg,Seca Pesada,5.18
286,Bisc.Bauducco Champ.150g,Seca Leve,30.32
287,Bisc.Passatempo Rech.Choc.130g,Seca Leve,35.16
288,Sabao Em Po Surf Flor Cer.&Lav 1kg Sache,Limpeza,35.94
289,Shampoo Ox 240ml Prot.Rec.Prof.,Perfumaria/Higiene E Beleza,8.99
290,Choc.Nestle Suflair Dark 110g,Seca Leve,39.91
291,Sabao Em Pedra Alpes Super 150g C/1,Limpeza,8.64
292,Limpador Mr.Musculo Perf.Pinho 500ml,Limpeza,3.19
293,Sardinha Gomes Costa Light 125g,Seca Salgada,27.05
294,Bisc.Club Social Integ.Gerg. 144g,Seca Leve,11.56
295,Manteiga Crioulo 200g S/Sal,"Frios,Massas E Gordurosos",11.38
296,Acucar Caravelas Demerara 1kg,Seca Pesada,6.00
297,Milho Verde Predilecta 200g Sache,Seca Salgada,14.54
298,Choc.Nestle Prestigio Classic 98g,Seca Leve,26.34
299,Pipoca Karoli Doce 50g,Seca Leve,28.62
300,Salg.E.Chips Pingo D.Ouro 90g,Seca Leve,22.38
301,Requeijao Tirol Light 180g,Laticinios,79.82
302,Batata DeliCia Palha Fina 80g,Seca Leve,39.76
303,Hamburguer Seara Texasburguer Misto 56g,Congelados,40.94
304,Choc.Garoto M.Amargo 100g,Seca Leve,41.76
305,Iog.Nestle 900g Vitamina de Fts,Laticinios,6.99
306,Iog.Nestle 900g Mrgo,Laticinios,6.99
