,nm_produto,ds_classe2,vl_total
329,Leite Ferm.Batavinho 480g Trad.,Laticinios,6.05
330,Caldo Maggi Galinha 63g,Seca Salgada,23.19
331,Arroz Zaeli Parb.L.Fino T1 5kg,Seca Pesada,23.96
332,Creme Bozzano P/Barba 65g Mentol.,Perfumaria/Higiene E Beleza,19.53
333,Tintura Koleston Chocolate 67,Perfumaria/Higiene E Beleza,20.74
334,Manteiga Tirol 200g S/Sal,"Frios,Massas E Gordurosos",131.76
335,Fermento Royal Po 250g,Seca Doce,49.56
336,Esponja de Aco Q Lustro C/8,Limpeza,7.98
337,Aparelho Prestobarba Movel Masc.C/2,Perfumaria/Higiene E Beleza,60.68
338,Bisc.Isabela Gergelim 400g,Seca Leve,106.77
339,Cobertura Kenko Choc.250g,Seca Doce,21.70
340,Leite Santa Clara Uht 1l Semidesnatado,Leite,181.29
341,Sab.Johnson 90g Desperte,Perfumaria/Higiene E Beleza,7.60
342,Queijo Aurora Mussarela Kg,Fiambreria,410.14
343,Milho Verde Bonare 200g La,Seca Salgada,87.24
344,Pate Seara 100g Frango C/Ervas,"Frios,Massas E Gordurosos",20.01
345,Adoc.Adocyl Stevia 80ml,Seca Doce,15.16
346,Pao de Qjo S.Geraldo Coq.1kg,Congelados,76.95
347,Bisc.Nesfit Cacau/Cereais 200g,Seca Leve,90.71
348,Shampoo Elseve 400ml Quera Liso,Perfumaria/Higiene E Beleza,41.83
349,Limpador Cif L.Profunda Orig.250ml,Limpeza,15.98
350,Molho Zaeli 3 Em 1 180gr,Seca Salgada,3.88
351,Sab.Protex 90g L6p5 Vitamina E,Perfumaria/Higiene E Beleza,49.50
352,Ketchup Hellmanns Trad.380gr,Seca Salgada,97.57
353,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,55.35
354,Beb.Lactea Paulista 540g Mrgo/Coco,Laticinios,45.06
355,Beb.Lactea Batavo 180g Jabuticaba,Laticinios,24.49
356,Removedor  Farmax de Esmalte 100ml,Perfumaria/Higiene E Beleza,71.55
357,Marg.Qualy Aera 250g C/Sal,"Frios,Massas E Gordurosos",3.08
358,Abs.Intimus Gel Not.Sve C/Abas C/36 P.Es,Perfumaria/Higiene E Beleza,117.18
359,Querosene Guanabara 500ml,Limpeza,32.80
360,Refr.Po Tang Abac.25g,Bebidas Frias,159.44
361,Refr.Po Tang Lja/Mamao 25g,Bebidas Frias,50.68
362,Refr.Po Tang Pess.25g,Bebidas Frias,41.58
363,Choc.Arcor Amargo 70% 100g,Seca Leve,11.68
364,Cerv.Brahma Chopp Zero 300ml Gf-Rt,Bebidas Frias,25.06
