,nm_produto,ds_classe2,vl_total
277,Agua Min.Font Life 10l Pet,Bebidas Frias,407.07
278,Agua Min.Font Life 5l Pet,Bebidas Frias,261.94
279,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,205.00
280,Agua Min.Font Life C/Gas 510ml Pet,Bebidas Frias,45.91
281,Agua Min.Font Life S/Gas 1.5l Pet,Bebidas Frias,89.48
282,Agua Min.Font Life S/Gas 510ml Pet,Bebidas Frias,99.18
283,Agua Min.Font Life Sport 510ml S/Gas Pet,Bebidas Frias,23.42
284,Agua Min.Maceratti 1.5l Pet,Bebidas Frias,7.60
285,Agua Min.Maceratti 300ml Copo,Bebidas Frias,7.62
286,Agua Min.Maceratti 502ml,Bebidas Frias,8.83
287,Agua Min.Maceratti 5l,Bebidas Frias,34.24
288,Agua Min.Maceratti C/Gas 2l Pet,Bebidas Frias,34.71
289,Agua Min.Maceratti C/Gas 505ml,Bebidas Frias,33.12
290,"Agua Min.Nestle Pureza Vital 1,5l Pet",Bebidas Frias,33.41
291,Agua Min.Nestle Pureza Vital 510ml Pet,Bebidas Frias,26.34
292,Agua Min.O Fino S/Gas 350ml Pet,Bebidas Frias,10.00
293,Agua Min.O.Fino 1.5l,Bebidas Frias,72.52
294,Agua Min.O.Fino 10l,Bebidas Frias,389.20
295,Agua Min.O.Fino 500ml Jr,Bebidas Frias,44.49
296,Agua Min.O.Fino 6l,Bebidas Frias,98.86
297,"Agua Min.O.Fino C/Gas 1,5l Pet",Bebidas Frias,57.60
298,Agua Min.O.Fino C/Gas 350ml Pet,Bebidas Frias,44.55
299,Agua Min.O.Fino C/Gas 500ml Pet,Bebidas Frias,49.17
300,Agua Min.Perrier C/Gas 330ml,Bebidas Frias,23.08
301,"Agua Min.Proteg 1,5 Pet",Bebidas Frias,72.10
302,Agua Min.Proteg 502ml Pet,Bebidas Frias,76.79
303,Agua Min.Proteg 5l Pet,Bebidas Frias,92.67
304,Agua Min.Proteg C/Gas 2l Pet,Bebidas Frias,32.85
305,Agua Min.Proteg C/Gas 505ml Pet,Bebidas Frias,31.14
306,Agua Min.Sao Lourenco C/Gas 1.260ml Pet,Bebidas Frias,7.56
307,Agua Min.Sao Lourenco C/Gas 300ml Pet,Bebidas Frias,9.76
308,"Agua Min.Schinc.C/Gas 1,5l",Bebidas Frias,22.87
309,Agua Min.Schinc.C/Gas 500ml Pet,Bebidas Frias,11.12
310,Agua Min.Schinc.S/Gas 500ml Pet,Bebidas Frias,56.76
311,Agua Min.Sferrie 1.5l C/Gas Pet,Bebidas Frias,14.65
312,Agua Min.Sferrie 1.5l Pet,Bebidas Frias,68.49
313,Agua Min.Sferrie 510ml C/Gas Pet,Bebidas Frias,68.06
314,Agua Min.Sferrie 510ml Pet,Bebidas Frias,34.49
315,Agua Min.Sferrie 5l,Bebidas Frias,63.49
316,Agua Min.Sferrie Premium C/Gas 410ml Pet,Bebidas Frias,7.05
317,Agua Min.Sferrie Premium S/Gas 410ml Pet,Bebidas Frias,13.16
318,Beb.Ades Soja Abac.1l Tp,Bebidas Frias,93.17
319,Beb.Ades Soja Abac.200ml Tp,Bebidas Frias,20.90
320,Beb.Ades Soja Lja 1l Tp,Bebidas Frias,59.18
321,Beb.Ades Soja Lja 200ml Tp,Bebidas Frias,34.72
322,Beb.Ades Soja Maca 1l Tp,Bebidas Frias,156.62
323,Beb.Ades Soja Maca 200ml Tp,Bebidas Frias,25.08
324,Beb.Ades Soja Mrgo 1l Tp,Bebidas Frias,78.00
325,Beb.Ades Soja Mrgo 200ml Tp,Bebidas Frias,18.27
326,Beb.Ades Soja Pess.1l Tp,Bebidas Frias,29.10
327,Beb.Ades Soja Uva 1l Tp,Bebidas Frias,58.66
328,Beb.Ades Soja Uva 200ml Tp,Bebidas Frias,24.54
329,Beb.Aquarius Fresh Limao 510ml Pet,Bebidas Frias,18.33
330,Beb.Cini Cristal Limao 600ml Pet,Bebidas Frias,31.16
331,Beb.Energ.Burn 1l Pet,Bebidas Frias,115.76
332,Beb.Energ.Burn 260ml,Bebidas Frias,5.39
333,Beb.Energ.Flying Horse 1l,Bebidas Frias,58.72
334,Beb.Energ.Furioso 2l,Bebidas Frias,314.61
335,Beb.Energ.Fusion 1l Pet,Bebidas Frias,64.82
336,Beb.Energ.Fusion Lja 310ml La,Bebidas Frias,13.27
337,Beb.Energ.Insano 1l,Bebidas Frias,116.64
338,Beb.Energ.Insano 269ml La,Bebidas Frias,13.14
339,Beb.Energ.Monster Assault 473ml La,Bebidas Frias,34.05
340,Beb.Energ.Monster Energy 473ml La,Bebidas Frias,206.40
341,Beb.Energ.Monster Khaos 473ml La,Bebidas Frias,225.27
342,Beb.Energ.Monster Lo-Carb 473ml La,Bebidas Frias,108.84
343,Beb.Energ.Monster Ultra 473ml La,Bebidas Frias,61.41
344,Beb.Energ.Red Bull 250ml La,Bebidas Frias,203.29
345,Beb.Energ.Red Bull 355ml La,Bebidas Frias,152.84
346,Beb.Energ.Red Bull 473ml La,Bebidas Frias,33.45
347,Beb.Energ.Red Bull Blue 250ml,Bebidas Frias,40.42
348,Beb.Energ.Red Bull Four Pack Lt,Bebidas Frias,26.02
349,Beb.Energ.Red Bull Red 250ml La,Bebidas Frias,59.38
350,Beb.Energ.Red Bull S.Free 250ml La,Bebidas Frias,103.77
351,Beb.Energ.Red Bull Summer/Tropical 250ml,Bebidas Frias,64.31
352,"Beb.H20h Citrus 1,5l Pet",Bebidas Frias,53.91
353,Beb.H20h Citrus 500ml Pet,Bebidas Frias,6.97
354,"Beb.H20h Limao 1,5l Pet",Bebidas Frias,131.78
355,Beb.H20h Limao 500ml Pet,Bebidas Frias,52.33
356,"Beb.H2oh Laranccini 1,5l Pet",Bebidas Frias,11.96
357,Beb.H2oh Laranccini 500ml Pet,Bebidas Frias,48.85
358,Beb.H2oh Limoneto 1.5l Pet,Bebidas Frias,71.86
359,Beb.H2oh Limoneto 500ml,Bebidas Frias,80.25
360,Beb.Hidrotonico I9 Lim.500ml Pet,Bebidas Frias,182.06
361,Beb.Hidrotonico I9 Mrcja 500ml Pet,Bebidas Frias,77.77
362,Beb.Hidrotonico I9 Tang.500ml Pet,Bebidas Frias,100.54
363,Beb.Hidrotonico I9 Uva Vde 500ml Pet,Bebidas Frias,133.16
364,Beb.Isot.Gatorade Ftas Citr.500ml Pet,Bebidas Frias,23.45
365,Beb.Isot.Gatorade Lim.1l,Bebidas Frias,104.85
366,Beb.Isot.Gatorade Lim.500ml Pet,Bebidas Frias,42.21
